Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,ProductURL,SentimentScore,Embedding
1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,2011-04-27,Good Quality Dog Food,i have bought several of the vitality canned dog food products and have found them all to be of good quality the product looks more like a stew than a processed meat and it smells better my labrador is finicky and she appreciates this product better than most,https://www.amazon.com/dp/B001E4KFG0,5,"[0.08589508384466171, -0.014198117889463902, -0.1067095696926117, -0.11509187519550323, 0.061784181743860245, -0.08113882690668106, -0.11650462448596954, 0.3750375211238861, 0.13957950472831726, -0.1000225618481636, 0.5134868025779724, -0.4042343199253082, 0.018530545756220818, -0.2141726016998291, -0.03404722735285759, 0.5470160245895386]"
2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,2012-09-07,Not as Advertised,product arrived labeled as jumbo salted peanutsthe peanuts were actually small sized unsalted not sure if this was an error or if the vendor intended to represent the product as jumbo,https://www.amazon.com/dp/B00813GRG4,2,"[-0.07135055959224701, -0.2180953025817871, 0.043045125901699066, 0.24379195272922516, -0.2611404359340668, -0.16696292161941528, -0.11811321973800659, 0.1467447578907013, -0.14244024455547333, 0.022109542042016983, 0.5556734800338745, -0.4883665442466736, -0.17205007374286652, 0.2791411280632019, -0.2394874393939972, -0.14687518775463104]"
3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,2008-08-18,"""Delight"" says it all",this is a confection that has been around a few centuries it is a light pillowy citrus gelatin with nuts in this case filberts and it is cut into tiny squares and then liberally coated with powdered sugar and it is a tiny mouthful of heaven not too chewy and very flavorful i highly recommend this yummy treat if you are familiar with the story of cs lewis the lion the witch and the wardrobe this is the treat that seduces edmund into selling out his brother and sisters to the witch,https://www.amazon.com/dp/B000LQOCH0,5,"[0.011951448395848274, -0.2984260022640228, -0.5497186183929443, 0.05517038330435753, 0.03960868716239929, -0.07486265897750854, -0.1647106558084488, 0.37066301703453064, -0.14562676846981049, -0.26717451214790344, 0.3009876012802124, -0.4641612768173218, 0.008581348694860935, 0.08658196032047272, 0.010902795009315014, 0.16599145531654358]"
4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,2011-06-13,Cough Medicine,if you are looking for the secret ingredient in robitussin i believe i have found it i got this in addition to the root beer extract i ordered which was good and made some cherry soda the flavor is very medicinal,https://www.amazon.com/dp/B000UA0QIQ,4,"[-0.17025989294052124, -0.22012107074260712, -0.44060808420181274, 0.13833044469356537, -0.09240327775478363, -0.3723577558994293, -0.31947746872901917, 0.34033679962158203, -0.46402910351753235, -0.1494920253753662, 0.04359421879053116, -0.21499772369861603, 0.21371687948703766, -0.021499771624803543, 0.07158966362476349, -0.08453527092933655]"
5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,2012-10-21,Great taffy,great taffy at a great price there was a wide assortment of yummy taffy delivery was very quick if your a taffy lover this is a deal,https://www.amazon.com/dp/B006K2ZZ7K,5,"[-0.1138104647397995, -0.37727224826812744, -0.4536699056625366, -0.07910928130149841, -0.019502224400639534, 0.037923723459243774, -0.09581143409013748, 0.33262836933135986, -0.21520239114761353, -0.2662913501262665, 0.23658114671707153, -0.20467020571231842, 0.08048474788665771, -0.46876078844070435, 0.18863612413406372, -0.1847062110900879]"
6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,2012-07-12,Nice Taffy,i got a wild hair for taffy and ordered this five pound bag the taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc my only complaint is there was a bit too much redblack licoriceflavored pieces just not my particular favorites between me my kids and my husband this lasted only two weeks i would recommend this brand of taffy it was a delightful treat,https://www.amazon.com/dp/B006K2ZZ7K,5,"[0.2393248975276947, 0.07866775989532471, -0.49008625745773315, -0.1600264459848404, -0.18432894349098206, -0.30037546157836914, -0.20232455432415009, 0.39657631516456604, -0.09477131068706512, 0.23411120474338531, 0.22317929565906525, -0.4019581973552704, -0.14690814912319183, -0.1841607540845871, 0.12866026163101196, 0.03334234654903412]"
7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,2012-06-20,Great!  Just as good as the expensive brands!,this saltwater taffy had great flavors and was very soft and chewy each candy was individually wrapped well none of the candies were stuck together which did happen in the expensive version fralingers would highly recommend this candy i served it at a beachthemed party and everyone loved it,https://www.amazon.com/dp/B006K2ZZ7K,5,"[0.31650665402412415, -0.3153238892555237, -0.41987988352775574, 0.057659562677145004, 0.0704333707690239, -0.002254636725410819, -0.15399537980556488, 0.1312863826751709, -0.10597531497478485, -0.15943607687950134, 0.3588494658470154, -0.5322421193122864, -0.01071876473724842, -0.2975824773311615, 0.13329708576202393, 0.14039364457130432]"
8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,2012-05-03,"Wonderful, tasty taffy",this taffy is so good it is very soft and chewy the flavors are amazing i would definitely recommend you buying it very satisfying,https://www.amazon.com/dp/B006K2ZZ7K,5,"[0.08140241354703903, -0.2833549678325653, -0.5508643984794617, 0.004228381440043449, 0.2727912962436676, -0.14983326196670532, 0.0928981751203537, 0.21841944754123688, 0.04470141977071762, -0.1979134976863861, 0.3563685715198517, -0.1814465969800949, -0.2603634297847748, -0.243430495262146, 0.34673699736595154, 0.08971353620290756]"
9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,2011-11-23,Yay Barley,right now im mostly just sprouting this so my cats can eat the grass they love it i rotate it around with wheatgrass and rye too,https://www.amazon.com/dp/B000E7L2R4,4,"[-0.16426512598991394, -0.1246921643614769, 0.6152475476264954, 0.23295781016349792, 0.08389254659414291, -0.3494367301464081, 0.04439958557486534, 0.4155694246292114, -0.21674463152885437, 0.1764250099658966, 0.18325161933898926, -0.1919981986284256, 0.04903953894972801, 0.23615778982639313, -0.030186383053660393, -0.11498558521270752]"
10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,2012-10-26,Healthy Dog Food,this is a very healthy dog food good for their digestion also good for small puppies my dog eats her required amount at every feeding,https://www.amazon.com/dp/B00171APVA,5,"[0.048761144280433655, -0.10491307079792023, 0.20459851622581482, -0.00924411229789257, 0.31762343645095825, -0.22028140723705292, 0.15178145468235016, 0.6446205377578735, -0.09107788652181625, 0.06421869993209839, 0.34682604670524597, -0.39405494928359985, -0.1952248364686966, -0.1330341100692749, 0.08630091696977615, -0.07377263903617859]"
